Event 0
nTracks 10
0 : 3.14084
1 : 0.479071
2 : 0.848185
3 : 2.98783
4 : 0.688519
5 : 1.51949
6 : 3.0178
7 : 2.37827
8 : 1.70739
9 : 2.36463
Event 1
nTracks 10
0 : 2.42703
1 : 2.10419
2 : 0.953854
3 : 2.56371
4 : 1.63795
5 : 0.496097
6 : 1.48727
7 : 1.20582
8 : 0.657687
9 : 0.631634
Event 2
nTracks 10
0 : 0.0882755
1 : 1.01188
2 : 0.573476
3 : 2.97766
4 : 1.8426
5 : 2.8445
6 : 2.12679
7 : 1.56605
8 : 1.77732
9 : 0.537481
Event 3
nTracks 10
0 : 0.892476
1 : 0.343483
2 : 0.183322
3 : 2.06976
4 : 2.31886
5 : 2.03356
6 : 2.2823
7 : 0.29085
8 : 2.23566
9 : 0.315129
Event 4
nTracks 10
0 : 0.378555
1 : 1.579
2 : 0.615059
3 : 0.868186
4 : 0.242643
5 : 0.375235
6 : 1.73232
7 : 0.240134
8 : 0.878481
9 : 2.8248
Event 5
nTracks 10
0 : 0.674492
1 : 1.33878
2 : 0.412731
3 : 1.23284
4 : 2.19607
5 : 0.502416
6 : 1.36918
7 : 0.131992
8 : 0.93986
9 : 1.5919
Event 6
nTracks 10
0 : 0.537863
1 : 1.60847
2 : 2.36725
3 : 1.11833
4 : 0.472764
5 : 1.43472
6 : 2.00283
7 : 2.16589
8 : 2.23223
9 : 1.49753
Event 7
nTracks 10
0 : 0.262998
1 : 1.02879
2 : 0.278011
3 : 1.35468
4 : 1.48435
5 : 1.29622
6 : 2.48146
7 : 1.99213
8 : 3.08468
9 : 1.13303
Event 8
nTracks 10
0 : 2.64364
1 : 0.41295
2 : 2.37758
3 : 2.64041
4 : 1.20178
5 : 1.98332
6 : 1.05486
7 : 0.134421
8 : 1.95373
9 : 1.80017
Event 9
nTracks 10
0 : 1.56702
1 : 2.31375
2 : 0.424114
3 : 0.123147
4 : 0.93822
5 : 0.356012
6 : 0.720817
7 : 1.1683
